Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Income_Group,Parent_Education,Final_Result
STU158,4.2,65.6,67.8,84.4,69.1,Middle,School,Pass
STU159,1.8,71.4,52.1,75.6,44.8,Low,Postgraduate,Fail
STU160,4.4,63.6,75.5,62.8,66.4,Middle,School,Fail
STU161,2.1,,56.4,78.8,63.8,Middle,School,Pass
STU162,4.6,78.4,66.8,28.1,71.5,Middle,School,Fail
STU163,5.1,69.6,98.0,84.1,65.6,Middle,Graduate,Pass
STU164,2.4,80.6,63.6,43.6,51.4,Middle,Graduate,Pass
STU165,4.8,76.7,82.2,62.9,79.6,High,School,Pass
STU166,4.1,75.3,54.5,52.3,61.9,Middle,School,Fail
STU167,4.7,85.4,64.5,49.9,63.6,Low,School,Fail
STU168,6.2,87.1,91.6,84.3,51.9,Middle,School,Pass
STU169,3.2,71.6,55.6,61.5,58.2,Middle,Graduate,Fail
STU170,2.4,71.1,92.2,72.9,52.5,Middle,Graduate,Pass
STU171,2.3,74.7,75.6,67.3,61.8,High,School,Pass
STU172,2.4,50.4,56.6,74.7,86.3,High,School,Pass
STU173,3.4,59.8,74.5,69.1,46.2,Low,Postgraduate,Fail
STU174,4.0,94.4,79.6,50.0,43.0,High,Graduate,Pass
STU175,3.9,97.7,74.3,81.9,83.1,Low,Graduate,Pass
STU176,4.7,75.0,41.4,61.1,61.3,Low,School,Pass
STU177,3.5,84.9,54.1,46.2,55.3,Low,Graduate,Pass
STU178,5.5,,61.3,62.0,77.5,High,School,Fail
STU179,3.1,100.0,63.9,89.0,56.1,Middle,Graduate,Pass
STU180,7.3,,74.3,79.9,87.7,Low,Postgraduate,Pass
STU181,4.4,76.5,67.7,63.1,72.8,Middle,School,Pass
STU182,2.3,66.5,45.0,63.1,57.7,Middle,School,Fail
STU183,2.0,58.7,70.7,63.5,92.0,Low,School,Pass
STU184,4.2,80.4,74.2,97.1,56.1,High,School,Pass
STU185,3.2,68.9,73.4,73.3,73.6,High,School,Pass
STU186,4.5,60.9,81.2,74.0,67.9,Middle,School,Pass
STU187,4.2,70.2,77.5,82.4,80.9,High,Graduate,Pass
STU188,3.4,65.0,71.9,71.3,84.3,Middle,Graduate,Pass
STU189,2.3,98.2,63.9,64.4,64.4,High,School,Fail
STU190,1.4,88.6,40.1,65.3,54.2,Middle,Postgraduate,Pass
STU191,2.9,77.9,71.4,67.0,70.0,Middle,School,Pass
STU192,4.7,95.8,68.1,67.5,55.2,Low,Postgraduate,Pass
STU193,3.8,78.9,69.1,78.2,90.2,High,School,Pass
STU194,1.8,67.7,45.8,68.7,65.8,Middle,Postgraduate,Fail
STU195,3.7,96.3,48.8,78.3,59.3,Low,Graduate,Pass
STU196,4.0,84.5,80.8,66.9,66.4,Low,Graduate,Pass
STU197,2.3,65.6,64.4,69.1,46.5,Middle,Postgraduate,Fail
STU198,3.7,75.7,75.2,40.0,51.4,Middle,School,Pass
STU199,3.6,67.5,65.4,80.8,79.6,Middle,Postgraduate,Fail
STU200,1.9,61.4,65.4,72.9,55.5,High,School,Fail
STU201,4.0,89.1,79.1,82.0,50.4,Low,School,Fail
STU202,4.3,100.0,57.3,27.5,71.0,Middle,School,Pass
STU203,5.0,61.2,66.4,97.2,79.4,Low,Graduate,Fail
STU204,5.0,84.8,58.1,66.0,73.3,High,School,Pass
STU205,1.6,70.2,58.5,,76.9,High,Graduate,Pass
STU206,2.2,72.2,60.4,53.4,54.2,Middle,Graduate,Fail
STU207,4.2,70.9,68.3,76.6,45.5,Middle,Graduate,Pass
STU208,4.2,67.6,57.8,53.3,83.5,Middle,Graduate,Fail
STU209,4.2,78.6,83.8,59.3,59.8,Middle,School,Pass
STU210,8.0,68.0,51.6,94.8,60.7,High,School,Pass
STU211,4.3,81.2,62.2,65.3,81.3,Middle,School,Fail
STU212,5.1,77.4,58.4,71.0,71.2,Middle,School,Pass
STU213,4.8,75.1,86.7,80.2,69.9,Middle,School,Pass
STU214,4.4,67.1,67.9,74.9,92.1,High,School,Pass
STU215,3.1,71.1,80.5,70.1,55.6,Middle,School,Pass
STU216,4.6,87.1,42.7,73.1,76.1,Low,Postgraduate,Fail
STU217,2.4,84.0,69.0,100.0,64.7,Middle,Graduate,Fail
STU218,3.2,66.3,78.3,67.2,67.5,High,School,Pass
STU219,2.8,79.2,66.2,70.8,83.9,Low,Graduate,Pass
STU220,3.6,87.0,81.0,82.7,70.6,Low,School,Pass
STU221,6.7,58.0,57.2,83.5,71.0,Low,School,Fail
STU222,0.9,84.5,86.1,84.6,77.9,Middle,Graduate,Pass
STU223,4.5,70.0,98.0,76.9,59.3,Middle,Graduate,Fail
STU224,1.2,84.8,59.6,52.0,53.1,Middle,School,Pass
STU225,2.8,68.8,58.3,90.9,50.4,Middle,Postgraduate,Pass
STU226,5.0,56.3,86.8,52.0,38.4,Middle,Postgraduate,Fail
STU227,3.6,58.5,88.7,72.2,90.7,Middle,Graduate,Pass
STU228,2.0,78.6,57.2,57.4,49.7,High,Graduate,Pass
STU229,2.5,81.1,58.7,67.1,61.1,Middle,Graduate,Fail
STU230,4.5,67.1,60.8,72.6,60.4,High,School,Pass
STU231,2.5,85.7,44.8,72.5,68.0,Middle,School,Pass
STU232,3.8,58.1,51.2,73.9,74.6,Low,School,Fail
STU233,3.6,77.2,49.9,90.6,75.2,Middle,Graduate,Pass
STU234,2.6,63.5,53.5,74.3,56.4,Middle,Graduate,Fail
STU235,6.5,,64.5,64.6,61.8,Middle,School,Pass
STU236,4.4,78.6,68.5,81.5,67.7,Low,Postgraduate,Pass
STU237,0.7,67.7,88.3,84.7,60.8,Low,Postgraduate,Fail
STU238,3.8,73.4,50.0,50.8,84.9,High,Graduate,Pass
STU239,2.6,90.1,79.8,76.4,70.4,Low,Graduate,Pass
STU240,4.7,71.1,61.8,77.8,73.6,High,Postgraduate,Pass
STU241,2.4,88.0,64.3,63.8,72.6,Low,School,Fail
STU242,3.3,64.4,75.1,87.3,79.3,Middle,Graduate,Pass
STU243,4.2,84.4,48.2,65.9,66.4,Middle,School,Fail
STU244,4.7,95.3,70.7,69.8,47.1,Middle,Graduate,Pass
STU245,1.8,48.3,67.5,65.6,69.2,Middle,School,Fail
STU246,3.0,68.4,72.4,68.2,55.5,Low,Postgraduate,Pass
STU247,2.8,84.9,69.3,52.7,57.1,Low,Postgraduate,Fail
STU248,2.6,75.6,98.0,,71.6,Middle,School,Pass
STU249,6.0,82.5,55.4,90.3,80.1,Middle,Graduate,Pass
STU250,4.1,70.8,57.0,56.1,64.3,High,Postgraduate,Fail
STU251,1.7,79.0,55.7,54.1,68.0,High,Graduate,Fail
STU252,4.8,76.1,56.7,37.9,86.1,Middle,Postgraduate,Pass
STU253,6.5,92.0,55.4,59.1,67.1,Middle,Graduate,Pass
STU254,4.9,81.1,82.8,49.5,97.8,Middle,School,Pass
STU255,1.4,82.1,86.3,91.0,71.4,Low,School,Pass
STU256,2.8,73.1,56.4,82.1,41.1,High,School,Fail
STU257,5.3,72.1,52.5,58.4,73.8,Middle,Graduate,Pass
STU258,2.5,72.8,72.1,99.5,69.0,Middle,School,Pass
STU259,4.1,82.7,56.7,81.7,80.8,Low,Graduate,Fail
STU260,4.6,72.9,74.5,63.5,72.8,Middle,Graduate,Fail
STU261,2.2,81.5,68.0,33.0,62.2,Middle,Graduate,Fail
STU262,3.4,100.0,42.3,100.0,48.1,High,Postgraduate,Pass
STU263,0.5,88.5,88.2,48.5,61.3,Middle,Postgraduate,Pass
STU264,2.1,74.1,91.9,45.0,52.9,Middle,School,Pass
STU265,3.1,92.4,55.8,82.3,56.5,High,Graduate,Fail
STU266,1.8,73.1,59.2,100.0,71.7,Low,Graduate,Fail
STU267,5.8,53.5,69.3,87.4,85.7,Middle,Graduate,Fail
STU268,1.5,65.9,70.0,75.9,69.1,Low,Postgraduate,Pass
STU269,2.9,55.6,74.9,76.3,48.5,Middle,School,Pass
STU270,3.7,73.8,95.2,79.9,69.8,High,School,Pass
STU271,5.5,78.2,62.3,78.6,79.6,Low,Postgraduate,Fail
STU272,1.5,98.1,53.0,71.9,56.1,High,School,Pass
STU273,5.1,81.9,44.3,69.5,62.3,Low,Graduate,Pass
STU274,3.5,75.4,54.0,67.1,64.2,High,Postgraduate,Pass
STU275,2.1,88.0,64.5,57.4,53.8,Middle,School,Pass
STU276,4.1,51.5,91.9,64.1,72.4,High,Postgraduate,Pass
STU277,3.8,80.8,57.2,44.3,62.4,Low,School,Fail
STU278,2.7,87.3,68.4,,69.5,High,Graduate,Pass
STU279,3.6,60.3,64.8,54.2,52.5,Middle,Graduate,Fail
STU280,3.0,91.7,82.8,52.5,58.3,Middle,Postgraduate,Pass
STU281,3.7,82.1,98.0,70.5,73.4,High,School,Pass
STU282,4.4,73.0,57.0,87.5,59.2,Low,Graduate,Fail
STU283,5.7,85.6,57.7,80.9,86.5,High,Graduate,Pass
STU284,1.8,,80.7,46.0,58.8,Low,Graduate,Fail
STU285,6.5,80.2,75.2,54.1,66.9,Middle,Graduate,Pass
STU286,0.8,81.0,92.7,81.2,76.1,Middle,School,Pass
STU287,3.3,72.5,73.8,54.2,45.6,Low,School,Fail
STU288,4.3,67.8,59.6,64.9,41.1,Low,School,Fail
STU289,3.9,88.0,73.9,75.7,44.2,Low,Graduate,Pass
STU290,2.6,67.7,81.6,54.4,80.4,Middle,School,Fail
STU291,3.2,78.9,77.3,69.5,56.8,Middle,School,Pass
STU292,2.8,72.3,72.6,49.3,97.3,Middle,Postgraduate,Pass
STU293,2.7,83.7,81.0,59.6,56.7,Low,School,Fail
STU294,4.7,82.0,82.5,72.5,66.4,Low,Postgraduate,Pass
STU295,4.0,90.5,85.7,45.7,84.0,Middle,Graduate,Pass
STU296,2.5,71.9,74.7,,90.1,Low,Graduate,Fail
STU297,4.8,74.8,62.5,67.7,90.8,High,School,Pass
STU298,3.9,66.3,67.2,75.7,79.7,High,School,Pass
STU299,4.6,72.7,83.1,71.1,77.3,Middle,Graduate,Pass
STU300,4.4,82.5,52.7,87.1,71.7,Middle,Graduate,Pass
